New_publication,LAD,Publication,revision_outcome
a little bit of stone,Stafford,NA,NA
bath telegraph,Bath and North East Somerset,NA,NA
bedfordshire live,Bedford; Central Bedfordshire,NA,NA
bitternepark info,Southampton,NA,NA
cheltenham live,Cheltenham,NA,NA
derby news,Derby,NA,NA
devon live,East Devon; Exeter; Mid Devon; North Devon; South Hams; Teignbridge; Torridge; West Devon,NA,NA
ealing today,Ealing,NA,NA
eastbourne reporter,Eastbourne,NA,NA
felixstowe extra,East Suffolk,NA,NA
hambleton today,North Yorkshire,NA,NA
harrow online,Harrow; Brent,NA,NA
inksplott,Cardiff,NA,NA
inside croydon,Croydon,NA,NA
journal northumberland,Northumberland,NA,NA
lochside press,Argyll and Bute,NA,NA
london se1,Southwark,NA,NA
myderry,Derry City and Strabane,NA,NA
myfermanagh,Fermanagh and Omagh,NA,NA
mysuttoncoldfield,Birmingham,NA,NA
mytyrone,Mid Ulster; Fermanagh and Omagh; Derry City and Strabane,NA,NA
nantwich news,Cheshire East,NA,NA
norfolk live,Breckland; Broadland; Great Yarmouth; King's Lynn and West Norfolk; North Norfolk; Norwich; South Norfolk,NA,NA
north edinburgh community news,City of Edinburgh,NA,NA
oggy bloggy ogwr,Bridgend,NA,NA
patchway journal,South Gloucestershire,NA,NA
peckham peculiar,Southwark,NA,NA
peterboroughlive,Peterborough,NA,NA
royal sutton coldfield observer,Birmingham,NA,NA
stroud times,Stroud,NA,NA
telford live,Telford and Wrekin,NA,NA
western mail newport,Newport,NA,NA
wotton times,Mole Valley,NA,NA
your harlow,Harlow,NA,NA
your thurrock,Thurrock,NA,NA
